Address,Price,Info,URL
"486 Stonemont Dr, Weston, FL 33326","$619,000","4 bds,3 ba,2,412 sqft- House for sale",https://www.zillow.com/homedetails/486-Stonemont-Dr-Weston-FL-33326/43133772_zpid/
"1444 Harbour Side Dr, Weston, FL 33326","$694,000","4 bds,3 ba,2,147 sqft- House for sale",https://www.zillow.com/homedetails/1444-Harbour-Side-Dr-Weston-FL-33326/43144536_zpid/
"838 Heritage Dr, Weston, FL 33326","$610,000","5 bds,4 ba,3,137 sqft- House for sale",https://www.zillow.com/homedetails/838-Heritage-Dr-Weston-FL-33326/43125874_zpid/
"2134 Harbor Way, Weston, FL 33326","$560,000","3 bds,2 ba,2,044 sqft- House for sale",https://www.zillow.com/homedetails/2134-Harbor-Way-Weston-FL-33326/43144575_zpid/
"2950 Windmill Ranch Rd, Weston, FL 33331","$2,500,000","4 bds,6 ba,-- sqft- House for sale",https://www.zillow.com/homedetails/2950-Windmill-Ranch-Rd-Weston-FL-33331/43145674_zpid/
"1032 San Luis Rey, Weston, FL 33326","$525,000","3 bds,2 ba,1,778 sqft- House for sale",https://www.zillow.com/homedetails/1032-San-Luis-Rey-Weston-FL-33326/43136383_zpid/
"16300 NW Golf Club Rd #510, Fort Lauderdale, FL 33326","$162,900","1 bd,2 ba,1,017 sqft- Condo for sale",https://www.zillow.com/homedetails/16300-NW-Golf-Club-Rd-510-Fort-Lauderdale-FL-33326/2077697236_zpid/
"595 Cascade Falls Dr, Weston, FL 33327","$585,000","4 bds,3 ba,2,434 sqft- House for sale",https://www.zillow.com/homedetails/595-Cascade-Falls-Dr-Weston-FL-33327/43126512_zpid/
"1111 Birchwood Rd, Weston, FL 33327","$619,900","5 bds,3 ba,2,550 sqft- House for sale",https://www.zillow.com/homedetails/1111-Birchwood-Rd-Weston-FL-33327/43127349_zpid/
"376 Fairway Cir #45, Weston, FL 33326","$295,000","3 bds,2 ba,1,500 sqft- House for sale",https://www.zillow.com/homedetails/376-Fairway-Cir-45-Weston-FL-33326/43138221_zpid/
